realm-java 6cf596df183b3c3a38ed5dd9bb3b0100c6548ebb EXTRACT	{Method showStatus(Realm) at examples/migrationExample/src/main/java/io/realm/examples/realmmigrationexample/MigrationExampleActivity.java:112}	{Method showStatus(String) at examples/migrationExample/src/main/java/io/realm/examples/realmmigrationexample/MigrationExampleActivity.java:131})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 CHANGE_SIGNATURE	{Method resolve(ConfigurationInternal, ResolverResults) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ConfigurationResolver.java:22}	{Method resolve(ConfigurationInternal, DefaultResolverResults) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ConfigurationResolver.java:22})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 PUSH_DOWN	{Method getGraphResults() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ResolverResults.java:121}	{Method getGraphResults() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/DefaultResolverResults.java:131})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 CHANGE_SIGNATURE	{Method resolveArtifacts(ResolveContext, List<? extends ResolutionAwareRepository>, GlobalDependencyResolutionRules, ResolverResults) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ivyservice/ShortcircuitEmptyConfigsArtifactDependencyResolver.java:60}	{Method resolveArtifacts(ResolveContext, List<? extends ResolutionAwareRepository>, GlobalDependencyResolutionRules, DefaultResolverResults) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ivyservice/ShortcircuitEmptyConfigsArtifactDependencyResolver.java:60})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 PUSH_DOWN	{Method assertHasResult() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ResolverResults.java:85}	{Method assertHasResult() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/DefaultResolverResults.java:95})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 EXTRACT_MOVE	{Method execute(ResolverResults) at subprojects/language-java/src/main/java/org/gradle/language/java/plugins/JavaLanguagePlugin.java:188}	{Method execute(ResolvedComponentResult) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ivyservice/resolveengine/DefaultDependencyResolver.java:174})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 PUSH_DOWN	{Method getTransientConfigurationResultsBuilder() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ResolverResults.java:129}	{Method getTransientConfigurationResultsBuilder() at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/DefaultResolverResults.java:139})
gradle 04bcfe98dbe7b05e508559930c21379ece845732 PUSH_DOWN	{Method resolved(ResolutionResult, ResolvedLocalComponentsResult) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/ResolverResults.java:97}	{Method resolved(ResolutionResult, ResolvedLocalComponentsResult) at subprojects/dependency-management/src/main/java/org/gradle/api/internal/artifacts/DefaultResolverResults.java:107})
MPS 2bcd05a827ead109a56cb1f79a83dcd332f42888 INLINE	{Method getLanguage(SLanguageId, String, int) at core/kernel/source/jetbrains/mps/smodel/adapter/structure/MetaAdapterFactory.java:66}	{Method getLanguage(SLanguageId, String) at core/kernel/source/jetbrains/mps/smodel/adapter/structure/MetaAdapterFactory.java:61})
MPS 2bcd05a827ead109a56cb1f79a83dcd332f42888 CHANGE_SIGNATURE	{Method SLanguageAdapter(String, int) at core/kernel/source/jetbrains/mps/smodel/adapter/structure/language/SLanguageAdapter.java:49}	{Method SLanguageAdapter(String) at core/kernel/source/jetbrains/mps/smodel/adapter/structure/language/SLanguageAdapter.java:44})
MPS 2bcd05a827ead109a56cb1f79a83dcd332f42888 EXTRACT_MOVE	{Method loadUsedLanguages(ModelInputStream) at core/persistence/source/jetbrains/mps/persistence/binary/BinaryPersistence.java:433}	{Method addLanguage(SLanguage, int) at core/kernel/source/jetbrains/mps/extapi/model/SModelDescriptorStub.java:240})
MPS 2bcd05a827ead109a56cb1f79a83dcd332f42888 CHANGE_SIGNATURE	{Method LangKey(SLanguageId, String, int) at core/kernel/source/jetbrains/mps/smodel/adapter/structure/MetaAdapterFactory.java:217}	{Method LangKey(SLanguageId, String) at core/kernel/source/jetbrains/mps/smodel/adapter/structure/MetaAdapterFactory.java:194})
MPS 2bcd05a827ead109a56cb1f79a83dcd332f42888 CHANGE_SIGNATURE	{Method getLanguage(SLanguageId, String, int) at core/persistence/source/jetbrains/mps/smodel/persistence/def/v9/IdInfoReadHelper.java:183}	{Method getLanguage(SLanguageId, String) at core/persistence/source/jetbrains/mps/smodel/persistence/def/v9/IdInfoReadHelper.java:183})
Android-IMSI-Catcher-Detector e235f884f2e0bc258da77b9c80492ad33386fa86 EXTRACT	{Method onCreate(SQLiteDatabase) at app/src/main/java/com/SecUpwN/AIMSICD/adapters/AIMSICDDbAdapter.java:1386}	{Method createCellTable(SQLiteDatabase) at app/src/main/java/com/SecUpwN/AIMSICD/adapters/AIMSICDDbAdapter.java:1513})
Android-IMSI-Catcher-Detector e235f884f2e0bc258da77b9c80492ad33386fa86 EXTRACT	{Method onCreate(SQLiteDatabase) at app/src/main/java/com/SecUpwN/AIMSICD/adapters/AIMSICDDbAdapter.java:1386}	{Method createSilentSmsTable(SQLiteDatabase) at app/src/main/java/com/SecUpwN/AIMSICD/adapters/AIMSICDDbAdapter.java:1464})
Android-IMSI-Catcher-Detector e235f884f2e0bc258da77b9c80492ad33386fa86 EXTRACT	{Method onCreate(SQLiteDatabase) at app/src/main/java/com/SecUpwN/AIMSICD/adapters/AIMSICDDbAdapter.java:1386}	{Method createDefaultMCCTable(SQLiteDatabase) at app/src/main/java/com/SecUpwN/AIMSICD/adapters/AIMSICDDbAdapter.java:1583})
Android-IMSI-Catcher-Detector e235f884f2e0bc258da77b9c80492ad33386fa86 EXTRACT	{Method onCreate(SQLiteDatabase) at app/src/main/java/com/SecUpwN/AIMSICD/adapters/AIMSICDDbAdapter.java:1386}	{Method createEventLogTable(SQLiteDatabase) at app/src/main/java/com/SecUpwN/AIMSICD/adapters/AIMSICDDbAdapter.java:1599})
Android-IMSI-Catcher-Detector e235f884f2e0bc258da77b9c80492ad33386fa86 EXTRACT	{Method onCreate(SQLiteDatabase) at app/src/main/java/com/SecUpwN/AIMSICD/adapters/AIMSICDDbAdapter.java:1386}	{Method createOpenCellIDTable(SQLiteDatabase) at app/src/main/java/com/SecUpwN/AIMSICD/adapters/AIMSICDDbAdapter.java:1556})
Android-IMSI-Catcher-Detector e235f884f2e0bc258da77b9c80492ad33386fa86 EXTRACT	{Method onCreate(SQLiteDatabase) at app/src/main/java/com/SecUpwN/AIMSICD/adapters/AIMSICDDbAdapter.java:1386}	{Method createCellSignalTable(SQLiteDatabase) at app/src/main/java/com/SecUpwN/AIMSICD/adapters/AIMSICDDbAdapter.java:1446})
Android-IMSI-Catcher-Detector e235f884f2e0bc258da77b9c80492ad33386fa86 EXTRACT	{Method onCreate(SQLiteDatabase) at app/src/main/java/com/SecUpwN/AIMSICD/adapters/AIMSICDDbAdapter.java:1386}	{Method createLocationTable(SQLiteDatabase) at app/src/main/java/com/SecUpwN/AIMSICD/adapters/AIMSICDDbAdapter.java:1492})
intellij-community 138911ce88b05039242b8d1b2bb5b7a59008f5ee INTERNAL_MOVE	{Method getStyleSheet() at platform/util/src/com/intellij/util/ui/UIUtil.java:2244}	{Method getStyleSheet() at platform/util/src/com/intellij/util/ui/UIUtil.java:2251})
intellij-community 138911ce88b05039242b8d1b2bb5b7a59008f5ee EXTRACT	{Method getHTMLEditorKit() at platform/util/src/com/intellij/util/ui/UIUtil.java:2232}	{Method getHTMLEditorKit(boolean) at platform/util/src/com/intellij/util/ui/UIUtil.java:2236})
intellij-community 04397f41107bd6de41b31d45a4e8e2ed65628bbe INLINE	{Method checkForTestRoots(Module, Set<VirtualFile>, Set<Module>) at java/java-impl/src/com/intellij/testIntegration/createTest/CreateTestAction.java:135}	{Method checkForTestRoots(Module, Set<VirtualFile>) at java/java-impl/src/com/intellij/testIntegration/createTest/CreateTestAction.java:131})
intellij-community cc0eaf7faa408a04b68e2b5820f3ebcc75420b5b MOVE_RENAME	{Method isAnnotatedNullable(PsiExpression) at plugins/InspectionGadgets/InspectionGadgetsAnalysis/src/com/siyeh/ig/psiutils/SwitchUtils.java:232}	{Method isAnnotated(PsiExpression, boolean) at plugins/InspectionGadgets/InspectionGadgetsAnalysis/src/com/siyeh/ig/psiutils/ExpressionUtils.java:660})
intellij-community cc0eaf7faa408a04b68e2b5820f3ebcc75420b5b EXTRACT	{Method canBeUnboxed(PsiExpression) at plugins/InspectionGadgets/InspectionGadgetsAnalysis/src/com/siyeh/ig/migration/UnnecessaryBoxingInspection.java:234}	{Method canBinaryExpressionBeUnboxed(PsiExpression, PsiExpression) at plugins/InspectionGadgets/InspectionGadgetsAnalysis/src/com/siyeh/ig/migration/UnnecessaryBoxingInspection.java:288})
sonarqube c55a8c3761e9aae9f375d312c14b1bbb9ee9c0fa CHANGE_SIGNATURE	{Method PersistComponentsStep(DbClient, TreeRootHolder, BatchReportReader, DbIdsRepository) at server/sonar-server/src/main/java/org/sonar/server/computation/step/PersistComponentsStep.java:54}	{Method PersistComponentsStep(DbClient, TreeRootHolder, BatchReportReader, DbIdsRepository, System2) at server/sonar-server/src/main/java/org/sonar/server/computation/step/PersistComponentsStep.java:56})
sonarqube c55a8c3761e9aae9f375d312c14b1bbb9ee9c0fa INTERNAL_MOVE	{Method createComponentDto(BatchReport.Component, Component) at server/sonar-server/src/main/java/org/sonar/server/computation/step/PersistComponentsStep.java:229}	{Method createComponentDto(BatchReport.Component, Component) at server/sonar-server/src/main/java/org/sonar/server/computation/step/PersistComponentsStep.java:213})
BroadleafCommerce 4ef35268bb96bb78b2dc698fa68e7ce763cde32e PULL_UP	{Method getColumn() at admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/dto/BasicFieldMetadata.java:537}	{Method getColumn() at admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/dto/FieldMetadata.java:224})
BroadleafCommerce 4ef35268bb96bb78b2dc698fa68e7ce763cde32e PULL_UP	{Method setColumn(Integer) at admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/dto/BasicFieldMetadata.java:541}	{Method setColumn(Integer) at admin/broadleaf-open-admin-platform/src/main/java/org/broadleafcommerce/openadmin/dto/FieldMetadata.java:228})
java-driver 1edac0e92080e7c5e971b2d56c8753bf44ea8a6c EXTRACT	{Method setMaxSimultaneousRequestsPerHostThreshold(HostDistance, int) at driver-core/src/main/java/com/datastax/driver/core/PoolingOptions.java:380}	{Method setMaxRequestsPerConnection(HostDistance, int) at driver-core/src/main/java/com/datastax/driver/core/PoolingOptions.java:243})
java-driver 1edac0e92080e7c5e971b2d56c8753bf44ea8a6c EXTRACT	{Method getMaxSimultaneousRequestsPerHostThreshold(HostDistance) at driver-core/src/main/java/com/datastax/driver/core/PoolingOptions.java:357}	{Method getMaxRequestsPerConnection(HostDistance) at driver-core/src/main/java/com/datastax/driver/core/PoolingOptions.java:220})
java-driver 1edac0e92080e7c5e971b2d56c8753bf44ea8a6c EXTRACT	{Method getMaxSimultaneousRequestsPerConnectionThreshold(HostDistance) at driver-core/src/main/java/com/datastax/driver/core/PoolingOptions.java:157}	{Method getNewConnectionThreshold(HostDistance) at driver-core/src/main/java/com/datastax/driver/core/PoolingOptions.java:177})
java-driver 1edac0e92080e7c5e971b2d56c8753bf44ea8a6c EXTRACT	{Method setMaxSimultaneousRequestsPerConnectionThreshold(HostDistance, int) at driver-core/src/main/java/com/datastax/driver/core/PoolingOptions.java:174}	{Method setNewConnectionThreshold(HostDistance, int) at driver-core/src/main/java/com/datastax/driver/core/PoolingOptions.java:203})
quasar 56d4b999e8be70be237049708f019c278c356e71 INLINE	{Method popMethod(boolean) at quasar-core/src/main/java/co/paralleluniverse/fibers/Stack.java:163}	{Method popMethod() at quasar-core/src/main/java/co/paralleluniverse/fibers/Stack.java:153})
quasar 56d4b999e8be70be237049708f019c278c356e71 RENAME	{Method isNonSuspendable(Class, String) at quasar-core/src/main/java/co/paralleluniverse/fibers/Fiber.java:1696}	{Method isSuspendable(Class, String) at quasar-core/src/main/java/co/paralleluniverse/fibers/Fiber.java:1681})
quasar 56d4b999e8be70be237049708f019c278c356e71 CHANGE_SIGNATURE	{Method InstrumentMethod(MethodDatabase, String, MethodNode) at quasar-core/src/main/java/co/paralleluniverse/fibers/instrument/InstrumentMethod.java:111}	{Method InstrumentMethod(MethodDatabase, String, String, MethodNode) at quasar-core/src/main/java/co/paralleluniverse/fibers/instrument/InstrumentMethod.java:113})
quasar 56d4b999e8be70be237049708f019c278c356e71 INLINE	{Method checkInstrumentation(boolean) at quasar-core/src/main/java/co/paralleluniverse/fibers/Fiber.java:1611}	{Method checkInstrumentation() at quasar-core/src/main/java/co/paralleluniverse/fibers/Fiber.java:1604})
quasar 56d4b999e8be70be237049708f019c278c356e71 INLINE	{Method pushMethod(int, int, String, int) at quasar-core/src/main/java/co/paralleluniverse/fibers/Stack.java:136}	{Method pushMethod(int, int) at quasar-core/src/main/java/co/paralleluniverse/fibers/Stack.java:129})
quasar 56d4b999e8be70be237049708f019c278c356e71 INLINE	{Method verifySuspend(Fiber, boolean) at quasar-core/src/main/java/co/paralleluniverse/fibers/Fiber.java:1579}	{Method verifySuspend(Fiber) at quasar-core/src/main/java/co/paralleluniverse/fibers/Fiber.java:1576})
quasar 56d4b999e8be70be237049708f019c278c356e71 CHANGE_SIGNATURE	{Method emitPopMethod(MethodVisitor, boolean) at quasar-core/src/main/java/co/paralleluniverse/fibers/instrument/InstrumentMethod.java:635}	{Method emitPopMethod(MethodVisitor) at quasar-core/src/main/java/co/paralleluniverse/fibers/instrument/InstrumentMethod.java:650})
hibernate-orm 2b89553db5081fe4e55b7b34d636d0ea2acf71c5 EXTRACT	{Method AnnotationMetadataSourceProcessorImpl(MetadataSources, MetadataBuildingContextRootImpl, IndexView) at hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/annotations/AnnotationMetadataSourceProcessorImpl.java:58}	{Method categorizeAnnotatedClass(Class, AttributeConverterManager) at hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/annotations/AnnotationMetadataSourceProcessorImpl.java:110})
cassandra 446e2537895c15b404a74107069a12f3fc404b15 RENAME	{Method testCassandraStorageFullCopy() at test/pig/org/apache/cassandra/pig/ThriftColumnFamilyTest.java:341}	{Method testCqlNativeStorageFullCopy() at test/pig/org/apache/cassandra/pig/ThriftColumnFamilyTest.java:338})
cassandra 446e2537895c15b404a74107069a12f3fc404b15 RENAME	{Method testCassandraStorageCounterCF() at test/pig/org/apache/cassandra/pig/ThriftColumnFamilyTest.java:550}	{Method testCqlNativeStorageCounterCF() at test/pig/org/apache/cassandra/pig/ThriftColumnFamilyTest.java:470})
cassandra 446e2537895c15b404a74107069a12f3fc404b15 RENAME	{Method testCassandraStorageSchema() at test/pig/org/apache/cassandra/pig/ThriftColumnFamilyTest.java:302}	{Method testCqlNativeStorageSchema() at test/pig/org/apache/cassandra/pig/ThriftColumnFamilyTest.java:299})
cassandra 446e2537895c15b404a74107069a12f3fc404b15 MOVE	{Method getSubSplits(String, String, TokenRange, Configuration) at src/java/org/apache/cassandra/hadoop/AbstractColumnFamilyInputFormat.java:229}	{Method getSubSplits(String, String, TokenRange, Configuration) at src/java/org/apache/cassandra/hadoop/cql3/CqlInputFormat.java:229})
cassandra 446e2537895c15b404a74107069a12f3fc404b15 RENAME	{Method testCassandraStorageFilter() at test/pig/org/apache/cassandra/pig/ThriftColumnFamilyTest.java:431}	{Method testCqlNativeStorageFilter() at test/pig/org/apache/cassandra/pig/ThriftColumnFamilyTest.java:392})
cassandra 446e2537895c15b404a74107069a12f3fc404b15 MOVE	{Method getSplits(JobConf, int) at src/java/org/apache/cassandra/hadoop/AbstractColumnFamilyInputFormat.java:287}	{Method getSplits(JobConf, int) at src/java/org/apache/cassandra/hadoop/cql3/CqlInputFormat.java:287})
cassandra 446e2537895c15b404a74107069a12f3fc404b15 MOVE	{Class NullOutputHandler at src/java/org/apache/cassandra/hadoop/BulkRecordWriter.java:289}	{Class NullOutputHandler at src/java/org/apache/cassandra/hadoop/cql3/CqlBulkRecordWriter.java:291})
cassandra 446e2537895c15b404a74107069a12f3fc404b15 MOVE	{Method describeSplits(String, String, TokenRange, int) at src/java/org/apache/cassandra/hadoop/AbstractColumnFamilyInputFormat.java:254}	{Method describeSplits(String, String, TokenRange, int) at src/java/org/apache/cassandra/hadoop/cql3/CqlInputFormat.java:254})
cassandra 446e2537895c15b404a74107069a12f3fc404b15 MOVE	{Method getRangeMap(Configuration, String) at src/java/org/apache/cassandra/hadoop/AbstractColumnFamilyInputFormat.java:242}	{Method getRangeMap(Configuration, String) at src/java/org/apache/cassandra/hadoop/cql3/CqlInputFormat.java:242})
cassandra 446e2537895c15b404a74107069a12f3fc404b15 RENAME	{Method testCassandraStorageCompositeColumnCF() at test/pig/org/apache/cassandra/pig/ThriftColumnFamilyTest.java:562}	{Method testCqlNativeStorageCompositeColumnCF() at test/pig/org/apache/cassandra/pig/ThriftColumnFamilyTest.java:484})
cassandra 446e2537895c15b404a74107069a12f3fc404b15 RENAME	{Method testCassandraStorageJoin() at test/pig/org/apache/cassandra/pig/ThriftColumnFamilyTest.java:498}	{Method testCqlNativeStorageJoin() at test/pig/org/apache/cassandra/pig/ThriftColumnFamilyTest.java:432})
cassandra 446e2537895c15b404a74107069a12f3fc404b15 RENAME	{Method testCassandraStorageBagOnlyCopy() at test/pig/org/apache/cassandra/pig/ThriftColumnFamilyTest.java:388}	{Method testCqlNativeStorageBagOnlyCopy() at test/pig/org/apache/cassandra/pig/ThriftColumnFamilyTest.java:371})
cassandra 446e2537895c15b404a74107069a12f3fc404b15 MOVE	{Method getSplits(JobContext) at src/java/org/apache/cassandra/hadoop/AbstractColumnFamilyInputFormat.java:74}	{Method getSplits(JobContext) at src/java/org/apache/cassandra/hadoop/cql3/CqlInputFormat.java:129})
cassandra 446e2537895c15b404a74107069a12f3fc404b15 MOVE	{Method rangeToTokenRange(Metadata, Range<Token>) at src/java/org/apache/cassandra/hadoop/AbstractColumnFamilyInputFormat.java:168}	{Method rangeToTokenRange(Metadata, Range<Token>) at src/java/org/apache/cassandra/hadoop/cql3/CqlInputFormat.java:223})
cassandra 446e2537895c15b404a74107069a12f3fc404b15 MOVE	{Method validateConfiguration(Configuration) at src/java/org/apache/cassandra/hadoop/AbstractColumnFamilyInputFormat.java:62}	{Method validateConfiguration(Configuration) at src/java/org/apache/cassandra/hadoop/cql3/CqlInputFormat.java:117})
cassandra 446e2537895c15b404a74107069a12f3fc404b15 MOVE	{Class SplitCallable at src/java/org/apache/cassandra/hadoop/AbstractColumnFamilyInputFormat.java:178}	{Class SplitCallable at src/java/org/apache/cassandra/hadoop/cql3/CqlInputFormat.java:301})
cassandra 446e2537895c15b404a74107069a12f3fc404b15 RENAME	{Method testCassandraStorageSingleTupleCopy() at test/pig/org/apache/cassandra/pig/ThriftColumnFamilyTest.java:354}	{Method testCqlNativeStorageSingleTupleCopy() at test/pig/org/apache/cassandra/pig/ThriftColumnFamilyTest.java:352})
liferay-portal 59fd9e696cec5f2ed44c27422bbc426b11647321 MOVE	{Method addDependency(Project, String, String, String, String, String) at modules/sdk/gradle-plugins-poshi-runner/src/com/liferay/gradle/plugins/poshi/runner/util/GradleUtil.java:41}	{Method addDependency(Project, String, String, String, String, String, boolean) at modules/sdk/gradle-util/src/com/liferay/gradle/util/GradleUtil.java:97})
android_frameworks_base 96a2c3410f3c71d3ab20857036422f1d64c3a6d3 EXTRACT	{Method cleanupProximity() at services/core/java/com/android/server/power/PowerManagerService.java:3006}	{Method cleanupProximityLocked() at services/core/java/com/android/server/power/PowerManagerService.java:3012})
intellij-community 219d6ddfd1db62c11efb57e0216436874e087834 PULL_UP_SIGNATURE	{Method close() at platform/remote-servers/agent-rt/src/com/intellij/remoteServer/agent/util/log/LogPipe.java:93}	{Method close() at platform/remote-servers/agent-rt/src/com/intellij/remoteServer/agent/util/log/LogPipeBase.java:22})
intellij-community 219d6ddfd1db62c11efb57e0216436874e087834 RENAME	{Method getLoggingHandler() at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/ui/tree/ServersTreeStructure.java:344}	{Method getComponent() at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/ui/tree/ServersTreeStructure.java:347})
intellij-community 219d6ddfd1db62c11efb57e0216436874e087834 PULL_UP_SIGNATURE	{Method open() at platform/remote-servers/agent-rt/src/com/intellij/remoteServer/agent/util/log/LogPipe.java:49}	{Method open() at platform/remote-servers/agent-rt/src/com/intellij/remoteServer/agent/util/log/LogPipeBase.java:20})
intellij-community 219d6ddfd1db62c11efb57e0216436874e087834 RENAME	{Method getLoggingHandler() at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/ui/tree/ServersTreeStructure.java:106}	{Method getComponent() at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/ui/tree/ServersTreeStructure.java:108})
intellij-community 219d6ddfd1db62c11efb57e0216436874e087834 PULL_UP	{Method dispose() at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/log/LoggingHandlerImpl.java:60}	{Method dispose() at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/log/LoggingHandlerBase.java:36})
intellij-community 219d6ddfd1db62c11efb57e0216436874e087834 CHANGE_SIGNATURE	{Method LoggingHandlerImpl(Project) at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/log/LoggingHandlerImpl.java:21}	{Method LoggingHandlerImpl(String, Project) at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/log/LoggingHandlerImpl.java:22})
intellij-community 219d6ddfd1db62c11efb57e0216436874e087834 EXTRACT_SUPER	{Class LoggingHandlerImpl at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/log/LoggingHandlerImpl.java:18}	{Class LoggingHandlerBase at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/log/LoggingHandlerBase.java:22})
intellij-community 219d6ddfd1db62c11efb57e0216436874e087834 EXTRACT_MOVE	{Method onSelectionChanged() at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/ui/ServersToolWindowContent.java:123}	{Method getComponent() at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/ui/tree/ServersTreeStructure.java:429})
intellij-community 219d6ddfd1db62c11efb57e0216436874e087834 EXTRACT_SUPER	{Class LogPipe at platform/remote-servers/agent-rt/src/com/intellij/remoteServer/agent/util/log/LogPipe.java:29}	{Class LogPipeBase at platform/remote-servers/agent-rt/src/com/intellij/remoteServer/agent/util/log/LogPipeBase.java:18})
intellij-community 219d6ddfd1db62c11efb57e0216436874e087834 EXTRACT	{Method addAdditionalLog(String) at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/log/DeploymentLogManagerImpl.java:71}	{Method addAdditionalLoggingHandler(LoggingHandlerBase) at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/log/DeploymentLogManagerImpl.java:98})
intellij-community 219d6ddfd1db62c11efb57e0216436874e087834 CHANGE_SIGNATURE	{Method DeploymentLogNode(Pair<LoggingHandlerImpl, String>, DeploymentNodeImpl) at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/ui/tree/ServersTreeStructure.java:404}	{Method DeploymentLogNode(LoggingHandlerBase, DeploymentNodeImpl) at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/ui/tree/ServersTreeStructure.java:408})
intellij-community 219d6ddfd1db62c11efb57e0216436874e087834 EXTRACT_MOVE	{Method onSelectionChanged() at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/ui/ServersToolWindowContent.java:123}	{Method getComponent() at platform/remote-servers/impl/src/com/intellij/remoteServer/impl/runtime/log/ConsoleTerminalHandlerImpl.java:112})
intellij-community 484038e916dc40bf87eca10c77889d79eca96c4d EXTRACT	{Method removeNode(TreePath) at java/compiler/impl/src/com/intellij/compiler/options/AnnotationProcessorsPanel.java:271}	{Method removeNodes(Collection<TreePath>) at java/compiler/impl/src/com/intellij/compiler/options/AnnotationProcessorsPanel.java:277})
sonarqube 091ec857d24bfe139d2a5ce143ffc9b32b21cd7c RENAME	{Method not_update_create_at() at server/sonar-server/src/test/java/org/sonar/server/computation/step/PersistComponentsStepTest.java:783}	{Method do_not_update_created_at_on_existing_component() at server/sonar-server/src/test/java/org/sonar/server/computation/step/PersistComponentsStepTest.java:783})
sonarqube 091ec857d24bfe139d2a5ce143ffc9b32b21cd7c MOVE	{Class SnapshotQuery at sonar-core/src/main/java/org/sonar/core/component/SnapshotQuery.java:26}	{Class SnapshotQuery at sonar-core/src/main/java/org/sonar/core/component/db/SnapshotQuery.java:26})
sonarqube 091ec857d24bfe139d2a5ce143ffc9b32b21cd7c RENAME	{Method PersisComponent(DbSession, Map<String, ComponentDto>, BatchReportReader) at server/sonar-server/src/main/java/org/sonar/server/computation/step/PersistComponentsStep.java:88}	{Method PersistComponentExecutor(DbSession, Map<String, ComponentDto>, BatchReportReader) at server/sonar-server/src/main/java/org/sonar/server/computation/step/PersistComponentsStep.java:87})
sonarqube 091ec857d24bfe139d2a5ce143ffc9b32b21cd7c RENAME	{Method fail_to_get_periods_if_not_initialized() at server/sonar-server/src/test/java/org/sonar/server/computation/period/PeriodsHolderImplTest.java:47}	{Method get_periods_throws_illegal_state_exception_if_not_initialized() at server/sonar-server/src/test/java/org/sonar/server/computation/period/PeriodsHolderImplTest.java:47})
sonarqube 091ec857d24bfe139d2a5ce143ffc9b32b21cd7c RENAME	{Class PersisComponent at server/sonar-server/src/main/java/org/sonar/server/computation/step/PersistComponentsStep.java:80}	{Class PersistComponentExecutor at server/sonar-server/src/main/java/org/sonar/server/computation/step/PersistComponentsStep.java:79})
sonarqube 091ec857d24bfe139d2a5ce143ffc9b32b21cd7c MOVE	{Class SnapshotQueryTest at sonar-core/src/test/java/org/sonar/core/component/SnapshotQueryTest.java:29}	{Class SnapshotQueryTest at sonar-core/src/test/java/org/sonar/core/component/db/SnapshotQueryTest.java:29})
sonarqube 091ec857d24bfe139d2a5ce143ffc9b32b21cd7c CHANGE_SIGNATURE	{Method QualityGateVerifier(QualityGate, BatchComponentCache, Periods, I18n, Durations) at sonar-batch/src/main/java/org/sonar/batch/qualitygate/QualityGateVerifier.java:66}	{Method QualityGateVerifier(QualityGate, I18n, Durations) at sonar-batch/src/main/java/org/sonar/batch/qualitygate/QualityGateVerifier.java:62})
sonarqube 7668c875dfa7240b1ec08eb60b42107bae1b4cd3 CHANGE_SIGNATURE	{Method PersistComponentsStep(DbClient, TreeRootHolder, BatchReportReader, DbIdsRepository) at server/sonar-server/src/main/java/org/sonar/server/computation/step/PersistComponentsStep.java:54}	{Method PersistComponentsStep(DbClient, TreeRootHolder, BatchReportReader, DbIdsRepository, System2) at server/sonar-server/src/main/java/org/sonar/server/computation/step/PersistComponentsStep.java:56})
sonarqube 7668c875dfa7240b1ec08eb60b42107bae1b4cd3 INTERNAL_MOVE	{Method createComponentDto(BatchReport.Component, Component) at server/sonar-server/src/main/java/org/sonar/server/computation/step/PersistComponentsStep.java:229}	{Method createComponentDto(BatchReport.Component, Component) at server/sonar-server/src/main/java/org/sonar/server/computation/step/PersistComponentsStep.java:213})
